Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,AnswerCode,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,consent status,owner_gender,total donkeys owned,reason for coming,number vaccs,number worming,number castration,individual donkey form status,individual form number,ownerID number,comments,owner village,owner_age,primary_work_type,secondary_work,working_hours,days per week worked,stress hours,rest_period_number
Jun,03/06/2017,4:10 PM,08/06/2017 05:08,11.24712508,76.96121206,O-030617161033-86-21,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,22,other(study),,,,yes,1,80,8M+14F,karamadai,50,pack,"dhobis_assistance,other(breeding)",4 to 8 hours,5,no_stress_hours,5
Jun,06/06/2017,7:39 AM,08/06/2017 05:08,11.24754644,76.96268813,O-060617073932-86-22,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,11,other(study),,,,yes,2,81,,karamadai,40,pack,"dhobis_assistance,other(breeding)",4 to 8 hours,3,yes_stress_hours,5
Jun,06/06/2017,8:22 AM,08/06/2017 05:08,11.24750295,76.96267855,O-060617082200-86-23,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,7,other(study),,,,yes,0,82,6F+1M,karamadai,37,pack,"pack,other(breeding)",4 to 8 hours,3,yes_stress_hours,5
Jun,06/06/2017,8:23 AM,08/06/2017 05:08,11.30628751,76.90136102,O-060617082342-86-24,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,16,"treatment,other(study)",,,,yes,1,83,12M+4F,sukkukapikadai,47,pack,other(breeding),4 to 8 hours,4,yes_stress_hours,5
Jun,06/06/2017,9:47 AM,08/06/2017 05:08,11.29683773,76.90676647,O-060617094759-86-25,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,5,other(study),,,,yes,0,84,3M+2F,sukkukapikadai,52,pack,other(breeding),4 to 8 hours,1,no_stress_hours,6
Jun,06/06/2017,5:22 PM,08/06/2017 05:08,11.29684419,76.90687048,O-060617172252-86-26,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,6,other(study),,,,yes,0,85,2M+4F,sukkukapikadai,46,pack,other(breeding),less than 4,1,no_stress_hours,1
Jun,06/06/2017,5:24 PM,08/06/2017 05:08,11.28528742,76.88629614,O-060617172429-86-27,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,12,other(study),,,,yes,0,86,8M+4F,nellithurai,46,pack,other(breeding),4 to 8 hours,4,no_stress_hours,6
Jun,07/06/2017,7:30 AM,08/06/2017 05:08,11.28520852,76.88634352,O-070617073029-86-28,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,15,other(study),,,,yes,0,87,8M+7F,nellithurai,40,pack,other(breeding),4 to 8 hours,4,no_stress_hours,5
Jun,07/06/2017,7:33 AM,08/06/2017 05:08,11.30457072,76.92206651,O-070617073301-86-29,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,6,other(study),,,,yes,0,88,3M+3F,sm nagar,42,pack,other(breeding),less than 4,3,no_stress_hours,6
Jun,07/06/2017,9:39 AM,08/06/2017 05:08,11.31198427,76.93097576,O-070617093913-86-30,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam ,No,consent given,male,7,other(study),,,,yes,0,90,7F,odanthurai,42,pack,other(breeding),less than 4,1,no_stress_hours,6
Jun,07/06/2017,10:08 AM,08/06/2017 05:08,10.96729696,76.80134,O-070617100857-86-31,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,9,other(study),,,,yes,0,91,,alanthurai,45,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,07/06/2017,12:48 PM,08/06/2017 05:08,10.97451288,76.81744424,O-070617124808-86-32,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,4,other(study),,,,yes,0,92,,alanthurai,45,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,07/06/2017,1:19 PM,28/07/2017 07:11,9.8947166,77.2788279,O-070617131910-86-33,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,Theni,No,consent given,male,11,worming,,11,,yes,0,95,,devaram,29,pack,pack,4 to 8 hours,2,yes_stress_hours,4
Jul,25/07/2017,9:38 AM,28/07/2017 07:11,9.8442727,77.29130961,O-250717093816-86-34,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,theni,No,consent given,male,10,worming,,10,,yes,0,96,,kombai,30,pack,pack,4 to 8 hours,1,no_stress_hours,5
Jul,25/07/2017,10:22 AM,28/07/2017 07:11,9.89686361,77.27797916,O-250717102255-86-35,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,theni,No,consent given,male,5,worming,,1,,yes,0,97,,devaram,65,pack,pack,less than 4,3,no_stress_hours,5
Jul,25/07/2017,11:13 AM,28/07/2017 07:11,10.01487716,77.34704123,O-250717111318-86-36,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,theni,No,consent given,male,26,worming,,26,,yes,0,98,,bodi,48,pack,pack,4 to 8 hours,2,no_stress_hours,6
Jul,25/07/2017,4:59 PM,28/07/2017 07:11,10.00146635,77.35301818,O-250717165936-86-37,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,theni,No,consent given,male,18,worming,,18,,yes,0,99,,bodi,55,pack,pack,4 to 8 hours,1,no_stress_hours,6
Jul,25/07/2017,5:55 PM,28/07/2017 07:11,10.00112829,77.35287698,O-250717175509-86-38,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,theni,No,consent given,male,28,worming,,28,,yes,0,100,,bodi,35,pack,pack,4 to 8 hours,3,no_stress_hours,5
